date,trap_score,risk_category,open,high,low,close,volume,price_return,volume_change,volatility,rolling_max_20,breakout_strength,is_breakout,pv_divergence
2025-01-05,1.1812588572170872,Normal,98084.34279280754,98256.73876849932,98084.34279280754,98256.73876849932,20979035420.980793,0.0,0.0,0.0017576299211785,98256.73876849932,0.0,0,0
2025-01-06,95.30784819033215,High Trap Risk,98256.73876849932,98364.58946599838,98256.73876849932,98364.58946599838,20060293834.7155,0.0010976417378676,-0.0437933187979879,0.0010976417378676,98364.58946599838,0.0,1,1
2025-01-07,20.98522940079299,Normal,98364.58946599838,102229.39453189744,98364.58946599838,102229.39453189744,46111387334.46171,0.0392906134908945,1.298639676686255,0.0392906134908946,102229.39453189744,0.0,1,0
2025-01-08,0.06764688068755147,Normal,102229.39453189744,102229.39453189744,96952.09886774956,96952.09886774956,60610257147.15405,-0.0516220964460595,0.3144314376734551,0.0516220964460595,102229.39453189744,-0.0516220964460595,0,0
2025-01-09,0.19843426974073478,Normal,96952.09886774956,96952.09886774956,95016.71440989176,95016.71440989176,65790469838.34392,-0.0199622749838331,0.0854675913783531,0.0199622749838331,102229.39453189744,-0.0705538769453945,0,0
2025-01-10,0.12595792053891988,Normal,95016.71440989176,95016.71440989176,92376.275783461,92376.275783461,65850881574.76184,-0.02778920154027,0.000918244489914,0.0277892015402701,102229.39453189744,-0.0963824425797816,0,0
2025-01-11,0.18211265709052388,Normal,92376.275783461,94736.6267420969,92376.275783461,94736.6267420969,63433655716.757095,0.0255514842811892,-0.0367075701979846,0.0255514842811891,102229.39453189744,-0.0732936727651523,0,1
2025-01-12,1.5942540843634823,Normal,94736.6267420969,94736.6267420969,94559.55167224212,94559.55167224212,17836423168.41627,-0.0018691299864078,-0.7188176691556424,0.0018691299864078,102229.39453189744,-0.0750258073499808,0,0
2025-01-13,0.3028517396776534,Normal,94559.55167224212,94559.55167224212,94454.77089638809,94454.77089638809,19608932595.53299,-0.0011080929848019,0.0993758339539385,0.0011080929848019,102229.39453189744,-0.0760507647639792,0,0
2025-01-14,0.001013732295068887,Normal,94454.77089638809,94456.3493746993,94454.77089638809,94456.3493746993,76328330233.31137,1.6711472551778073e-05,2.892528563778088,1.6711472551758455e-05,102229.39453189744,-0.0760353242116953,0,0
2025-01-15,0.4941988325944251,Normal,94456.3493746993,96574.07768799194,94456.3493746993,96574.07768799194,51241728228.81719,0.0224201795571392,-0.328666982859607,0.0224201795571392,102229.39453189744,-0.0553198702760676,0,1
2025-01-16,0.16531357678458278,Normal,96574.07768799194,100313.15239828422,96574.07768799194,100313.15239828422,57637319739.54339,0.038717167171633,0.1248121742140901,0.0387171671716332,102229.39453189744,-0.0187445317698259,0,0
2025-01-17,1.084668252866929,Normal,100313.15239828422,100313.15239828422,100044.57926776377,100044.57926776377,50150102497.2729,-0.0026773471284613,-0.1299022452137674,0.0026773471284613,102229.39453189744,-0.021371693279979,0,0
2025-01-18,62.05529618332656,High Trap Risk,100044.57926776377,104160.69358484232,100044.57926776377,104160.69358484232,69135117732.00064,0.0411428020109114,0.3785638371478925,0.0411428020109115,104160.69358484232,0.0,1,0
2025-01-19,97.02545388448388,High Trap Risk,104160.69358484232,104334.61575724394,104160.69358484232,104334.61575724394,49416447749.13053,0.0016697486010877,-0.2852193014165203,0.0016697486010877,104334.61575724394,0.0,1,1
2025-01-20,0.13000970804881587,Normal,104334.61575724394,104334.61575724394,101275.33714814208,101275.33714814208,72970313683.92325,-0.0293217987807604,0.4766402080207625,0.0293217987807604,104334.61575724394,-0.0293217987807604,0,0
2025-01-21,0.18938553045200407,Normal,101275.33714814208,101764.90860170544,101275.33714814208,101764.90860170544,120158523166.88388,0.0048340639226629,0.6466768073296236,0.0048340639226629,104334.61575724394,-0.0246294783077311,0,0
2025-01-22,84.84115379026142,High Trap Risk,101764.90860170544,106182.2368201815,101764.90860170544,106182.2368201815,95344290057.8965,0.0434071850421926,-0.2065124674886672,0.0434071850421927,106182.2368201815,0.0,1,1
2025-01-23,1.0503248010583888,Normal,106182.2368201815,106182.2368201815,103673.53509537788,103673.53509537788,55030669602.56557,-0.0236263785726427,-0.4228215494693079,0.0236263785726427,106182.2368201815,-0.0236263785726427,0,0
2025-01-24,0.136499482556207,Normal,103673.53509537788,104067.60991206949,103673.53509537788,104067.60991206949,102455227371.2076,0.0038011129487294,0.8617841307609868,0.0038011129487294,106182.2368201815,-0.0199150721574373,0,0
2025-01-25,2.386538477817913,Normal,104067.60991206949,104835.19253555956,104067.60991206949,104835.19253555956,51418786362.7815,0.0073758071713054,-0.4981340856676345,0.0073758071713055,106182.2368201815,-0.0126861547181676,0,1
2025-01-26,3.1115862421961062,Normal,104835.19253555956,104835.19253555956,104796.04077738234,104796.04077738234,22740744964.719296,-0.0003734600684206,-0.5577347002266131,0.0003734600684206,106182.2368201815,-0.0130548770143792,0,0
2025-01-27,0.48388725583137643,Normal,104796.04077738234,104796.04077738234,102552.24874280208,102552.24874280208,20639818380.26942,-0.0214110382218229,-0.0923860052829983,0.021411038221823,106182.2368201815,-0.0341863967654661,0,0
2025-01-28,0.00042297943197713123,Normal,102552.24874280208,102552.24874280208,101958.46953745594,101958.46953745594,93191643783.2474,-0.0057900164318709,3.515138751043164,0.0057900164318709,106182.2368201815,-0.0397784733983186,0,0
2025-01-29,1.4432462762600133,Normal,101958.46953745594,101958.46953745594,101313.11264498268,101313.11264498268,45780526813.56264,-0.0063296055286135,-0.5087485856559988,0.0063296055286135,106182.2368201815,-0.0458562968817903,0,0
2025-01-30,0.3280237659681941,Normal,101313.11264498268,103718.97939813643,101313.11264498268,103718.97939813643,47425401641.53094,0.0237468447108548,0.0359295740450282,0.0237468447108548,106182.2368201815,-0.0231983945320022,0,0
2025-01-31,0.973547316565429,Normal,103718.97939813643,104781.5135100103,103718.97939813643,104781.5135100103,42122570869.034325,0.0102443556429072,-0.1118141457731559,0.0102443556429071,106182.2368201815,-0.0131916914930253,0,1
2025-02-01,0.4759172014625134,Normal,104781.5135100103,104781.5135100103,102382.39409722164,102382.39409722164,37187819228.35328,-0.0228963996837043,-0.1171521951028099,0.0228963996837044,106182.2368201815,-0.0357860489358013,0,0
2025-02-02,0.7649959379779238,Normal,102382.39409722164,102382.39409722164,100674.78762544956,100674.78762544956,22827776122.48367,-0.0166787120659684,-0.3861491048370219,0.0166787120659685,106182.2368201815,-0.0518678957955909,0,0
2025-02-03,0.005298409190340659,Normal,100674.78762544956,100674.78762544956,97568.31653024876,97568.31653024876,59784234332.21204,-0.030856495141148,1.6189250328825944,0.0308564951411481,106182.2368201815,-0.0811239294621408,0,0
2025-02-04,0.016013211596740143,Normal,97568.31653024876,101466.8606657039,97568.31653024876,101466.8606657039,122163969235.23686,0.0399570708411936,1.0434144653653998,0.0399570708411935,106182.2368201815,-0.044408333217382,0,0
2025-02-05,0.34046769272522376,Normal,101466.8606657039,101466.8606657039,98118.43921664466,98118.43921664466,73196693057.98114,-0.03300014829562,-0.4008323934118837,0.03300014829562,106182.2368201815,-0.0759429999312671,0,0
2025-02-06,0.38708004385524725,Normal,98118.43921664466,98118.43921664466,96582.88682919052,96582.88682919052,48848958931.79228,-0.0156499879096492,-0.3326343460202818,0.0156499879096492,106182.2368201815,-0.0904044808101695,0,0
2025-02-07,0.4074889599304595,Normal,96582.88682919052,96635.41875332213,96582.88682919052,96635.41875332213,44462180396.17251,0.0005439050939168,-0.089802907401671,0.0005439050939169,106182.2368201815,-0.0899097471738781,0,1
2025-02-08,0.16670994867664313,Normal,96635.41875332213,96635.41875332213,96558.4563096667,96558.4563096667,57077722340.22422,-0.0007964206566113,0.2837364661751431,0.0007964206566113,106182.2368201815,-0.0906345618506094,0,0
2025-02-09,1.1165224691068063,Normal,96558.4563096667,96558.4563096667,96558.23762501092,96558.23762501092,20760850644.84597,-2.264790305628317e-06,-0.6362705133695352,2.264790305604495e-06,106182.2368201815,-0.090636621372638,0,0
2025-02-10,0.1910517317331965,Normal,96558.23762501092,96558.23762501092,96548.57865379583,96548.57865379583,25457107581.051964,-0.0001000325964171,0.2262073465362495,0.000100032596417,106182.2368201815,-0.0907275873524887,0,0
2025-02-11,0.11647634218008437,Normal,96548.57865379583,97399.98161383196,96548.57865379583,97399.98161383196,37054987393.57789,0.0088183893735929,0.4555851357268241,0.0088183893735928,104835.19253555956,-0.0709228527357892,0,0
2025-02-12,0.20608404644807676,Normal,97399.98161383196,97399.98161383196,95739.9773707924,95739.9773707924,36454577154.5622,-0.0170431679301653,-0.0162032234052181,0.0170431679301653,104835.19253555956,-0.0867572705766921,0,0
2025-02-13,0.10525014679064891,Normal,95739.9773707924,97836.18856127484,95739.9773707924,97836.18856127484,47115618235.19051,0.0218948369118994,0.2924472566346612,0.0218948369118994,104835.19253555956,-0.0667619699549909,0,0
2025-02-14,0.5556990245611484,Normal,97836.18856127484,97836.18856127484,96561.6639990985,96561.6639990985,29084371910.690556,-0.0130271281099437,-0.3827021060085013,0.0130271281099438,104796.04077738234,-0.0785752659852492,0,0
2025-02-15,0.23422911363114787,Normal,96561.6639990985,97488.48148536457,96561.6639990985,97488.48148536457,32289906944.92862,0.009598192987589,0.1102150338360858,0.0095981929875889,104781.5135100103,-0.0696022779242351,0,0
2025-02-16,1.4564586152892058,Normal,97488.48148536457,97569.95169430463,97488.48148536457,97569.95169430463,14215311318.346336,0.0008356906138937,-0.5597599168498391,0.0008356906138936,104781.5135100103,-0.0688247532807084,0,1
2025-02-17,0.24913563286768164,Normal,97569.95169430463,97569.95169430463,96149.3484548204,96149.3484548204,13634794998.739267,-0.0145598436282423,-0.0408373975501931,0.0145598436282423,104781.5135100103,-0.0823825192634312,0,0
2025-02-18,0.05067179174653463,Normal,96149.3484548204,96149.3484548204,95776.15723852724,95776.15723852724,25324374113.08163,-0.0038813702046927,0.8573344238342588,0.0038813702046926,104781.5135100103,-0.0859441324124673,0,0
2025-02-19,0.10123302106019204,Normal,95776.15723852724,95776.15723852724,95495.89153299289,95495.89153299289,38311133144.729355,-0.0029262575740679,0.5128165842779604,0.0029262575740679,104781.5135100103,-0.0886188953181165,0,0
2025-02-20,0.6681258035978785,Normal,95495.89153299289,96554.87156259285,95495.89153299289,96554.87156259285,27703222487.389572,0.0110892731886176,-0.2768884600010627,0.0110892731886176,102382.39409722164,-0.0569191860183989,0,1
2025-02-21,0.5520159110495514,Normal,96554.87156259285,98384.31738240314,96554.87156259285,98384.31738240314,24175261969.81266,0.0189472140577011,-0.1273483804702803,0.0189472140577012,101466.8606657039,-0.0303798034459409,0,1
2025-02-22,0.061120957449827,Normal,98384.31738240314,98384.31738240314,96135.15541305284,96135.15541305284,42477472950.92155,-0.0228609805829946,0.7570636051002311,0.0228609805829946,101466.8606657039,-0.0525462719322427,0,0
2025-02-23,1.7627512212784038,Normal,96135.15541305284,96564.15414290236,96135.15541305284,96564.15414290236,18464415570.762142,0.004462454218816,-0.565312757844707,0.0044624542188161,101466.8606657039,-0.0483183030462937,0,1
2025-02-24,1.031897433168228,Normal,96564.15414290236,96564.15414290236,96327.46309127836,96327.46309127836,16643044374.983364,-0.0024511274781502,-0.0986422336953283,0.0024511274781502,98384.31738240314,-0.0209063227336338,0,0
2025-02-25,0.0027298253587295066,Normal,96327.46309127836,96327.46309127836,91396.76686930266,91396.76686930266,45539703844.38777,-0.0511868169652038,1.7362604351905593,0.0511868169652038,98384.31738240314,-0.0710230115836556,0,0
